x,y,z,target
33,10,98,347
20,80,56,348
24,94,97,503
87,44,41,298
42,94,43,359
16,76,92,444
68,36,37,251
87,22,89,398
80,35,9,177
45,41,41,250
54,7,87,329
61,12,5,100
34,48,2,136
26,37,31,193
21,33,44,219
34,38,0,110
8,95,65,393
12,51,98,408
15,18,28,135
89,32,62,339
29,55,78,373
15,18,74,273
38,45,92,404
74,88,81,493
42,29,26,178
19,94,53,366
58,65,92,464
91,57,46,343
89,93,23,344
5,32,32,165
45,62,20,229
70,8,18,140
45,20,68,289
62,65,51,345
13,58,98,423
64,87,85,493
76,67,60,390
0,31,88,326
56,66,84,440
51,17,21,148
57,81,76,447
96,17,90,400
75,56,33,286
12,84,33,279
60,78,83,465
31,9,31,142
4,8,2,26
9,99,28,291
48,10,49,215
84,78,6,258
17,59,39,252
2,43,3,97
49,62,94,455
94,28,81,393
79,92,29,350
26,95,82,462
10,40,92,366
94,94,81,525
61,97,59,432
66,2,65,265
82,75,0,232
98,31,29,247
49,88,87,486
74,93,86,518
14,43,2,106
21,68,41,280
54,32,49,265
60,4,50,218
27,96,57,390
82,49,84,432
2,26,19,111
66,74,28,298
50,81,42,338
90,64,88,482
12,56,43,253
92,68,29,315
94,68,29,317
30,80,5,205
12,39,67,291
50,58,7,187
84,4,2,98
95,57,8,233
12,81,61,357
42,63,0,168
96,27,60,330
86,62,22,276
72,90,20,312
18,21,41,183
68,23,62,300
34,90,14,256
29,63,52,311
74,29,29,219
59,86,43,360
62,60,1,185
45,83,99,508
90,40,20,230
74,51,33,275
61,1,57,234
51,85,27,302
86,37,42,286
42,19,39,197
2,69,67,341
70,13,58,270
73,47,68,371
60,35,79,367
36,40,65,311
40,10,19,117
48,73,59,371
35,7,12,85
63,20,57,274
68,40,34,250
64,78,70,430
56,41,32,234
71,42,52,311
18,79,44,308
66,64,25,269
42,99,4,252
52,15,75,307
88,63,27,295
8,86,77,411
18,59,82,382
53,21,84,347
11,46,18,157
63,10,27,164
90,45,19,237
13,40,97,384
40,51,47,283
62,62,88,450
21,47,92,391
98,95,41,411
46,29,16,152
30,25,50,230
78,59,91,469
82,79,36,348
25,20,44,197
63,0,36,171
34,57,2,154
42,2,57,217
20,6,28,116
26,44,79,351
77,26,92,405
84,13,61,293
44,56,99,453
79,98,84,527
62,8,36,186
80,39,38,272
79,26,43,260
25,10,8,69
18,35,68,292
68,38,53,303
63,54,51,324
30,23,19,133
65,40,10,175
25,61,98,441
4,51,23,175
77,55,90,457
85,76,2,243
4,30,18,118
13,34,8,105
56,14,84,336
55,22,25,174
6,6,24,90
26,27,45,215
6,24,70,264
7,15,52,193
83,39,2,167
44,95,72,450
4,93,81,433
70,35,66,338
26,75,77,407
26,25,13,115
31,57,82,391
74,45,86,422
60,14,52,244
96,98,77,523
22,12,18,100
37,3,95,328
72,98,53,427
28,8,22,110
60,3,73,285
81,32,3,154
74,98,71,483
89,96,52,437
87,79,67,446
86,31,2,154
94,85,91,537
24,48,58,294
31,53,90,407
8,72,84,404
85,8,23,170
72,9,0,90
41,77,81,438
25,98,68,425
18,84,52,342
85,75,27,316
3,79,58,335
5,95,83,444
58,82,32,318
24,98,77,451
83,95,69,480
84,58,28,284
84,30,41,267
2,46,70,304
10,96,79,439
67,52,77,402
26,78,43,311
55,66,90,457
41,62,86,423
52,99,38,364
75,53,85,436
15,54,16,171
24,1,44,158
79,69,67,418
54,20,87,355
6,18,48,186
16,48,73,331
21,15,23,120
42,56,74,376
51,15,62,267
51,68,23,256
28,87,45,337
5,59,99,420
68,41,19,207
10,98,28,290
65,62,51,342
36,72,64,372
45,81,1,210
0,2,78,238
14,36,6,104
53,17,75,312
20,35,20,150
37,14,81,308
23,65,88,417
73,76,83,474
85,54,83,442
73,31,82,381
83,19,1,124
88,92,41,395
11,90,11,224
59,29,87,378
20,19,94,340
99,35,58,343
80,6,18,146
66,35,96,424
1,86,97,464
50,10,52,226
99,48,5,210
21,16,72,269
51,50,43,280
84,68,51,373
31,19,63,258
46,21,7,109
91,3,52,253
94,35,45,299
59,55,77,400
55,13,77,312
50,97,99,541
88,33,15,199
48,49,82,392
94,48,81,433
11,20,31,144
50,38,41,249
88,98,43,413
77,72,2,227
13,28,1,72
59,8,12,111
84,40,51,317
76,43,24,234
60,92,2,250
93,31,39,272
9,96,72,417
63,43,80,389
83,57,7,218
15,53,22,187
79,47,96,461
85,86,72,473
94,27,42,274
34,68,36,278
73,15,71,316
38,16,20,130
71,43,13,196
5,87,66,377
56,53,79,399
70,38,92,422
29,19,55,232
24,82,0,188
53,12,65,272
31,66,85,418
71,5,66,279
4,95,25,269
49,57,23,232
92,93,48,422
97,7,22,177
83,67,63,406
20,53,78,360
80,29,98,432
91,50,78,425
41,80,33,300
25,61,95,432
1,81,85,418
85,89,20,323
85,8,72,317
45,83,43,340
28,81,88,454
40,1,89,309
51,86,87,484
9,22,78,287
17,19,67,256
42,1,8,68
21,34,4,101
96,54,80,444
99,48,36,303
51,77,87,466
68,86,36,348
8,98,78,438
11,77,28,249
71,36,35,248
77,22,41,244
19,95,40,329
52,38,16,176
98,83,70,474
47,35,70,327
14,24,53,221
32,3,99,335
70,69,80,448
44,68,28,264
85,43,32,267
12,95,60,382
73,60,31,286
45,90,89,492
66,65,18,250
22,91,49,351
48,89,12,262
80,6,94,374
62,69,38,314
57,1,42,185
71,59,57,360
52,79,9,237
36,50,96,424
38,45,56,296
29,57,12,179
50,56,81,405
4,68,34,242
5,9,18,77
18,49,27,197
32,35,95,387
99,54,31,300
93,52,79,434
60,38,37,247
99,52,51,356
3,68,76,367
54,11,14,118
19,52,78,357
23,65,75,378
80,31,69,349
71,6,84,335
38,28,49,241
12,49,15,155
23,41,13,144
64,73,35,315
16,56,74,350
81,76,64,425
5,79,55,328
53,61,1,178
11,15,61,224
97,27,86,409
59,67,65,388
70,70,48,354
17,10,98,331
87,87,6,279
28,26,30,170
37,8,17,104
83,34,22,217
80,47,43,303
81,81,57,414
31,33,88,361
94,17,15,173
19,55,9,156
31,99,55,394
91,5,53,260
62,89,17,291
86,81,20,308
53,64,15,226
41,55,99,448
97,16,31,222
94,1,17,147
31,86,51,356
66,32,73,349
63,10,40,203
14,48,97,401
40,63,33,265
91,88,31,360
23,27,44,209
93,96,88,549
24,69,85,417
28,88,85,459
74,31,45,271
25,97,14,261
51,36,56,291
77,37,22,217
0,51,92,378
56,98,56,420
64,47,93,437
47,64,26,253
72,35,70,352
47,53,8,177
58,24,13,145
37,78,98,487
48,61,54,332
69,58,86,443
65,59,87,444
59,28,67,316
13,49,11,144
28,5,0,38
69,93,74,477
32,54,57,311
30,89,84,460
59,6,24,143
95,68,15,276
99,6,8,135
19,38,8,119
7,49,19,162
69,99,42,393
51,73,60,377
57,32,89,388
67,22,64,303
45,61,50,317
10,98,76,434
41,32,64,297
2,20,90,312
71,23,93,396
9,26,94,343
1,59,28,203
22,25,2,78
32,27,35,191
99,95,88,553
0,57,39,231
81,97,54,437
73,57,52,343
32,38,67,309
21,69,59,336
97,11,33,218
88,55,6,216
53,17,94,369
69,95,24,331
14,8,93,309
55,89,80,473
98,25,20,208
27,38,69,310
99,70,42,365
17,64,47,286
48,92,92,508
2,55,66,310
26,32,58,264
0,0,49,147
18,1,76,248
22,94,99,507
26,21,40,188
66,69,22,270
18,95,33,307
33,97,67,428
59,74,65,402
13,22,20,117
45,11,67,268
39,98,92,511
64,32,39,245
85,83,83,500
6,40,44,218
61,45,54,313
35,50,83,384
6,64,98,428
19,85,1,192
71,45,10,191
50,40,1,133
23,42,33,206
95,63,27,302
3,38,26,157
5,39,25,158
50,35,63,309
89,23,4,147
87,14,26,193
17,21,52,215
87,99,5,300
97,27,70,361
80,87,18,308
27,62,87,412
84,6,73,315
88,31,49,297
69,86,27,322
89,44,62,363
51,51,36,261
53,60,42,299
47,5,11,90
37,54,84,397
28,40,92,384
86,45,53,335
24,12,90,318
9,47,61,286
65,73,74,433
40,30,40,220
97,0,85,352
29,57,9,170
2,46,74,316
60,33,96,414
25,12,76,277
98,70,49,385
11,60,15,176
71,64,21,262
11,36,80,323
78,80,6,256
52,76,76,432
82,37,12,192
12,68,54,310
78,53,2,190
99,70,27,320
17,37,72,307
91,69,76,457
41,79,15,244
16,56,67,329
72,83,82,484
85,27,26,217
62,35,30,222
18,13,87,305
61,53,48,311
66,90,79,483
80,74,88,492
1,57,88,379
66,20,47,247
25,41,47,248
71,57,47,326
83,36,60,335
81,60,17,252
69,3,3,84
90,27,75,369
10,99,2,214
60,97,92,530
78,54,13,225
32,61,27,235
97,91,37,390
52,54,71,373
97,24,38,259
95,51,77,428
30,44,20,178
22,13,26,126
60,69,43,327
8,81,88,434
16,87,70,400
17,30,19,134
62,86,74,456
19,32,1,86
40,33,33,205
35,87,26,287
48,61,46,308
29,37,51,256
25,58,56,309
5,46,88,361
79,37,54,315
82,58,27,279
98,5,82,354
6,95,82,442
88,89,42,392
61,34,14,171
75,54,97,474
